theme,conversation_count,subtopic_count,subtopic_list
Unclustered / General Political Chatter (BERTopic noise topic),805663,1,https co conservative in (805663)
Trump & Trump Family (core),378375,348,elonmusk iamnot elon elon musk (20319); iamsophianelson vp https co (14998); anniefortruth e galv kamala harris (14712); foxnews https co kamala (14608); coffeytimenews thefungi669 daughter genmhayden (9307); ananavarro repriggleman pardon hunter (7308); davidklion amvalues2024 twladygrey nominee (5847); https co kamala harris (5687); sarahlongwell25 project 2025 heritage (5239); stillgray isabellamdeluca pearlythingz thelaurenchen (5057); trumpwarroom aterkel natashakorecki jonallendc (4384); jackposobiec nhannahjones isaiahrmartin jackunheard (3946); jdunlap1974 votes glenn tunes jeffjarvis (3755); petebuttigieg nancysinatra abc popbase (3448); pnjaban crypto bitcoin wokal distance (3349); atrupar maga he realmayaluna (3229); oil gas prices production (3202); simonateba simon melindagates guypbenson (3196); cb doge craigrozniecki doge elon (3033); ianonpatriot judiciarydems jerradchristian maga (2969); joeymannarinous joey gopjesususa ljmoynihan (2946); onebaddude  excellentsalvic mrjohnwick2 ifbap (2857); kamalaharris kamalahq oprah wrong speak (2841); vivekgramaswamy vivek ramaswamy gop (2672); mikel jollett shannonrwatts ericholder davidhogg111 (2606); lauraloomer doctorhenryct laura joebiden (2534); samstein queenanticommie eastendjoe foodpornphotos (2524); douglasbluewave draft vetsforrl deferments (2461); huberton timesalgebraind trumprealdaily modi (2412); accordingtowoz josephpino  godblessnc godblessamerica (2406); donaldtnews clooney phil lewis  davidsirota (2359); bidenhq jdvance1 heidiocanada seanspicer (2300); aespolitics1 hersheyblixx diane jackson7 breakingnews4x (2295); tim walz kamalaharris qondintini tim (2246); jdunlap1974 tax cuts voz us (2127); garbage puerto mentallydivine rico (2061); tarabull808 tennesseine govjventura cocaine (2041); morning good co https (2037); hodgetwins jeffreyatucker nebraskamegan brianglenntv (1955); rncresearch cturnbull1968 melaniatrump thedailyedge (1928); mollyploofkins mollyjongfast jeremiahdjohns vrosen11 (1864); truck garbage shaykhsulaiman bay (1852); pagop bucksgop gop charlieknews (1827); scottpresler scott ericabbenante earlyvoteaction (1789); papitrumpo mcfaul tuckercarlson trump2024 (1763); mayoisspicyy tactelller trump detester mayo (1747); beinlibertarian libertarian lpnational libertarians (1730); flag redlady2024 flags gggirl924 (1699); travis 4 trump travis in flint travisakers dsmallspopo (1687); whitehouse orangecountydem robertkennedyjc presssec (1676); unusual whales yamiche jeneps meghupdates (1666); realtrumpnewsx yes donald dc us (1598); chriscillizza advantage wilkowmajority votebidenout (1589); realdonaldtrump trumpdailyposts guano col trump2024 (1524);  wake up usa yes traecrowder thrillarilla369 (1509); olilondontv realmattcouch sandibachom kathleenwinche3 (1504); mmpadellan brooklyn sourpatchlyds hunter (1502); tedcruz ted cruz benfergusonshow (1495); trumprealparody fft1776 yes distillsocial (1490); glamelegance sports ix saras76 (1417); tpostmillennial realdogenews adamparkhomenko its the dr (1410); timcast rogan tim elonmuskusaaaaa (1397); donaldjtrumpjr rachel4trump 45 dad father (1384); basedmikelee therichfromcali ksorbs mike (1364); maddenifico repthomasmassie air2dlp12345 edwards (1361); gregtsargent jahimes seungminkim gavinnewsom (1356); chuckcallesto asu gop tylerbowyer fellaraktar (1354); billkristol kristol bill stengel (1311); kidrock hogan hulk wrestleops (1293); sadie nc realpatrickwebb mattgertz reptedlieu (1286); highbrow nobrow acyn atrupar wsteaks (1272); avindman catholic 60minutes pope (1263); axios andrewsolender xai kimreynoldsia (1259); umichvoter jakesherman pgatuor cerra   (1251); dirtroadpickup krptguy knowawastaken rally (1228); joebiden joe google ananavarro (1220); langmanvince ty bradford18 chaoticleftistw sfscotto (1214); angry staffer 0liviajulianna nyjenn723 guelphgirlchris (1204); briantylercohen jobs lorigspeaks manufacturing (1198); bricsinfo war russia putin (1196); chairmanwhatley dog patriotmom717 dogs (1181); breaking911 rsbnetwork dkthomp johnjamesmi (1160); accountablegop actbrigitte marcorubio grahamallen 1 (1154); damaan4u33 jerasikehorn damaan corniaken (1143); jim jordan itsdeaann judiciarygop jordan (1142); breitbartnews maga montgomery creepydotorg donaldjtnewsx (1137); trump army  yes comicdavesmith digijordan (1121); keir starmer skynews afneil namwella1961 (1112); milalovesjoe alsobrooksformd benjysarlin govlarryhogan (1096); byrondonalds ericg1247 leothelion1964 joeroganhq (1084); alphafox78 jurgen nauditt welchforvt texas (1078); cspanwj cspan alexberenson lynn (1057); laraleatrump chairmanwhatley erictrump lara (1053); trumpdailyposts mattyglesias katewillett deesnider (1047); adamemedia nicoleshanahan officejjsmart veto (1037); tonyxtwo tiff4mahogany realdonaldtrump jane (1030); annvandersteel thanksgiving happy bturner23 (1015); danscavino jonlemire ronbrownstein susie57 (996); nigel farage maitlis farage nigel (987); rickydoggin crrja5 damescorpio fft1776 (984); seanhannity sean clairecmc hannity (972); abbydphillip bjp ravinderkapur2 pti news (971); ivankanews  ivankanews yes jrpsaki (952); ap danielsgoldman maxevansump dantypo (948); akafacehots vomitromney raywintx credit (941); chrislhayes allinwithchris reannadilley chris (941); tiffmoodnukes anncoulter tiff johncleese (934); baddcompani annlesbyphd jmhorp badd (927); dougwahl1 mrjoncryer ojeda4america thethe1776 (906); trumpbaroon kash patel rogers (904); radiogenoa islam proudelephantus uk (903); gadsaad cwebbonline ames2420 deanbphillips (897); shaykay1717 nickadamsinusa jeffpearlman shay (895); notcapnamerica rudygiuliani 3orovik rudy (891); adamkinzinger wenmama2 827js carmeli33392291 (885); julie kelly2 tomhoman  michaelrapaport tracybeanz (883); jaketapper jake theleadcnn tapper (879); mattwallace888 wman132 srirachachau davincentjames (878); tulsigabbardrep davidplouffe danpfeiffer tulsigabbard (869); jdvance jason michaelianblack jd (869); donnabarford donna followed ifbap (860); teamtrump xaviaerd magaincwarroom mariatcardona (855); w terrence jonlovett pettersen4co terrence (853); halloween panda vincentoshana sarahemcbride (844); peterdutton mp dutton rowandean lnp (843); mcuban mark cuban antitoxicpeople (839); 4mischief douglasemhoff theatlantic morgfair (838); elisestefanik kobeissiletter elise teamtrump (826); warlorddilley howardlutnick jmbenson1491 stephensvina (818); texas jeep  guy bama angel4life the1776warriors ericldaugh (810); drewhlive breannamorello nycsouthpaw eddsmitty (794); mcdonald mcdonalds niknakgirl23 osint613 (786); genflynn flynnmovie repgregsteube flynn (780); albomp skynewsaust anniefortruth albo (779); tulsigabbard ninaturner tulsi robertkennedyjr (777); kaitlancollins kaitlan cnn thesourcecnn (756); govpritzker cannabis nursedawnsrx marijuanamoment (755); primantis https co ust (754); palmerreport johnastoehr mrhenrymorris demsabroaduk (745); elienyc josephfordcotto ettingermentum govwhitmer (736); westernlensman repchiproy marionumber4 schachin (735); mazemoore torreysmithwr johnpavlovitz theatlgoon (733); uaw danpatrick joe jo4 electadamsmith (729); sweetser kyle repsforharris haleyvte4harris auforga (713); desireeamerica4 iamjohnales  benjvmins  jschavez (712); ggreenwald brycemlipscomb nbcnightlynews justinwolfers (706); piper4missouri delusionposting truenorthcentre galacticaactual (699); johnpavlovitz smalls2672 oliverdarcy timcast (694); marshablackburn marsha blackburn senatorhagerty (692); repnancymace israelusaforeve mace nancy (688); laurenboebert repboebert zeketayler lauren (687); ivankatrumpo chaoticleftistw kwikwarren ambjohnbolton (680); kylegriffin1 maga set nashishere4it amoneyresists (679); giobruno1600 diligentdenizen gunloverclub1 christianheiens (676); unfilteredboss1 desantis milenaamit smittie (676); mtgreenee justaranch mar a hell no mtg (674); larrydjonesjr reopenchris trumppatriots47 lmplusg (674); vigilantfox ign timesradio jodiepp1948 (672); goddeketal rolandsmartin trumpstaxes judiciarygop (667); bendreyfuss alicefromqueens japan stillgray (666); scottjenningsky cnn scott deckape 1 (650); sarahiscensored trump2024film lifeonalampstnd conspiracyslyr (648); amy siskind angelabelcamino muellershewrote annaforflorida (646); dramaalert heartlandsignal robertgarcia ggreenwald (645); greg price11 gregproops wesstreeting thejackhopkins (644); realmaalouf dm oversightadmn maga hat base (643); jimstewartson thefive hillaryclinton oldrowofficial (640); wethepeople021 gc22gc thefungi669 bannon (640); kanekoathegreat concern70732755 warmonitor3 realnikohouse (638); nickknudsenus reduxxmag inflation thanksgiving (637); cynicalpublius baseballcrank ztisdale dailykumail (637); realjennaellis tracegallagher liana53160 zachwlambert (636); jeffflake flake jeff ambassador (634); rustyrockets jonahdispatch catsscareme2021 jonah (633); popularliberal david leavitt voteharrisout umairh (633); libsoftiktok husband rpsagainsttrump jenaglez (630); alabama georgia game americanfootball (628); stridinstrider primantibros primanti restaurant (623); pambondi othingstodo com davidaxelrod timjacobwise (614); chicago1ray donbeyerva jtaylorskinner jaketapper (612); joma gc peterbernegger 0liviajulianna colleenlwilson (611); stevedeaceshow dreamamerica  trumptrainx steve (606); grahamallen 1 erictrump grantstern centsofspence (601); endtribalism rfk timalberta jr (597); markhamill mark hamill kassiesdad (593); repluna mattwallace888 iamlegallyhype garland (590); jamaalbowmanny bowman sienaresearch latimer (589); emmavigeland hazelappleyard  emma fema deanne (585); repmarkpocan albuquerque rally via (578); pinko69420 mryguy2 uptotask realdlhughley (578); iamyesyouareno tyler a harper fightwithmemes herbert (574); the trump train jaltucher alvedacking realmikelindell (572); aweissmann  realbrysongray turntexas blue cubanonlytrump (571); berniesanders bernie clintonfdn nicoleshanahan (571); owenshroyer1776 disrespectedthe llddiiss newsbusters (563); sportz dc maddowblog tonyknowsall0 csmodeling az (560); therealthelmaj1 markruffalo thelma prob zero (559); dominicpenna jmann213 snduneivrc tizvo0wdbc (555); revmaxxing chrissw0rld ryangrim soulkhan (546); docnetyoutube oldmanebro thomaspaineband simply peg (539); marinamedvin dude cuban brianschimming gt (514); punchy playz playteaux1 ifbap patriots (510); foxnews ivankatrumpo fox blabette  (503); chuckcjmmn gunsnrosesgirl3 alexharmstrong realalexjones (502); ezraklein nuclearmagalady cherijacobus tylercowen (500); bretbaier bret vp ask (489); disavowtrump20 braddroflit ray p45 chriscillizza (488); real robn popbase kevinkileyca therealthelmaj1 (485); fred guttenberg elonmuskode  waleedshahid uncommittedmvmt (484); jonflan heatherthomasaf wendelltalks followingfg (464); lindseygrahamsc yvindman michelleobama ncdemparty (464); chriscuomo jefftimmer chris communist dog (464); lakotaman1 ofcrdeonjoseph politvidchannel omarjimenez (464); kleavittnh kayleighmcenany karoline leavitt (459); jrpsaki insidewithpsaki ryanwalterssupt jen (458); johncornyn ryanobles cornyn johnjcrace (457); rosskneedeep columbiabugle adamparkhomenko blakemontesso (451); magaresource medal lukewsavage gulffllinda (446); donwinslow visegrad24 markwarner apocalyptic (442); sensanders bernie therichfromcali facethenation (433); secblinken reptimburchett repcori govparsonmo (429); melaniatrumpo yes peacelover2022 realdogenews (429); maryltrump mngop mary mikestrong223 (424); amylynnstl samjownes thebrockeasley schiff (418); robert cr59 missourigop billeigel mccormickforgov (416); jasonllevin strandjunker billybaldwin eva palmer (412); realdlhughley ositanwanevu thehillopinion amitisinvesting (411); piyushmittal libertylockpod bluelionpolitix tariffs (407); allanlichtman coste1costello lesdoggg gregjstoker (396); texasrepublic71 jmilei marlene4719 boujeenbanjee (394); forgiatoblow47 woahhvickyyy hadaslevy777 tylerjmontague (393); realmacreport 50cent skydog404 breeziostallion (392); billackman potus johnstrandusa revhowardarson (390); oilfield rando shawn farash johnobrennan2 mashburn4nc (386); smerconish miles commodore theethomasb yardtalkhbcu (381); censoredmen robsmithonline interstarmedia louisa oeffling (375); gabezzozz menkhumemes easymoneyymo austinnull (374); tiff4mahogany bob casey cerberusxt mzanona (374); donald2024  patriotsunite followed ifbap (372); erichovde baldwin hovde tammybaldwin (371); gretchenwhitmer kamalaharris joebiden gretchen (368); keneakers black kenny irtehmofo1 (366); shaunmmaguire brendancarrfcc radio petersweden7 (362); patriotdave77 the kyle mann ifbap follow (358); bruce steiner rachel4trump 45 shadowofezra rtmannjr (357); margommartin real yellowrose realdonaldtrump senthomtillis (356); debbieforfl debbie rick scott (355); commons96055467 sargon of akkad jeffjacksonnc deborahrossnc (352); congratulations burnintranch elonmuskado marvinmusk (345); aremond2 catholicvote tyrwilliams1 catholics (338); stevenbeschloss ajdelgado13 edkrassen elected (332); jackblack jack warmonitors theblondern (332); peterbakernyt realmflynnjr rondesantis2024 azdemparty (329); rgnwtg2xiu trump2024 auxde1lpzo richparkerlab (329); freeyourmindkid planettyrus haymes joshua gutfeldfox (328); ritchietorres nicksortor nilesgapol conceptualjames (326); robschneider rustyrockets donaldjtrumpjr jimbreuer (325); freyjatarte cans jackposobiec conservative sb (320); jasmineforus jasmine sarahlongwell25 drjillstein (319); resisting313392 valentinaforsos powerown45 valentinaforusa (315); jimmy dore jimmy melaniatrumpo dore (312); lukepbeasley forecasterenten surging luke (310); franklin graham blondina winter aespolitics1 samaritanspurse (309); alinahabba benwikler teamtrump mattcorridoni (306); returnofkappy punishedmother attorneycrump johnrich (306); cmclymer blackintheempir forgiatoblow47  wake up usa (301); winterspolitics vabvox kathrynresists joakial  (297); kenpaxtontx anthonymentill4 jackieneohio occrp (295); rowanfornow realtrumpnewsx scrambledcortex gates (292); justinahorwitz clewandowski  dylanewells rxmsxy (290); maggienyt jonathanvswan the acumen shanegoldmacher (290); ilhanmn bitemecommies exposin lies pixiebell2022 (287); mostlypeacefull annarmatson troops combat (282); jinping xi laszlo99659 chinese (281); lexlitzen realdeancain geraldorivera dianelyssa (281); msblairewhite netflix ricklenzie redeaglepatriot (279); heathmayo dbongino heath rommywright (279); robreiner rob meathead reiner (278); danteatkins jaredemoskowitz paintings mynamehear (276); isaachayes3 celinedion super ultramaga judelawmiami (270); kaivanshroff hemantmehta dscc gop coin (254); jacksonhinklle nickkristof billieanania trumprealparody (248); ynb officer lew turkeys isafeyet (247); kaladinfree randiwhite shapiro ox (242); bettemidler emmylanepotter bette natesilver538 (242); luffy chan18 zelenskyy galaxychron carolyndcro (235); brithume onefussyone brit tvnewsnow (235); doctorjanette liz wheeler repdean yoshithepatriot (231); tazerface16 becketadams adamschiff la karma1 (229); isabelleisme 92 human augustus fracking ban (229); realtuckfrumper melaniatrumpo ryanafournier penguin pete (221); basedillinoisan redtraccoon cbs 1deo0y9zbx (221); bretweinstein rbreich node overwhelm (220); janetjackson newswire us tictoctick janet (220); realchrisrufo peterboghossian alegalnerd annelamott (207); marcorubio senronjohnson kimiversenshow govkathyhochul (204); noahpinion benstanton77 margomartin keitholbermann (201); jakeshieldsajj mikecrispi andres chef (195); energyphilflynn tyillc mtmalinen jimiuorio (193); elissaslotkin slotkin michigan harlan (185); billmaher realtimers chyeaok hbo (180); costareports cenkuygur facethenation goofylittlelara (179); geiger capital theofficertatum cenkuygur darealamberrose (173); revdaniel africanarchives arnotbup wmtjhictjb (172); chaseforliberty tallbarfin suzyqfit4u ydouh8m3 (167); tokens v5samgcjni wquil quil (165); lilpump ironstache lil pump (165); bobette20898402 tracey sonnyreid9 morning (164); dailycaller maryrooke  markennis rodzvianca (160); patricklovell1 s8n innervoltrock noobstersubs (159); realbencarson svhibe jessicalburbank tw1nty (158);  whitneywebb meekmill britlad95 meat maga (150); hexofhua mch serenayacarrin brd (149); petehegseth wkrn hegseth pete (149); rogermarshallmd andyroddick lion politics mamabearxp20004 (145); danwhitcongress pittsburghpg hassan nasrallah (144); washingtonpost adamforcolorado melaniatrumpo dcpoll (142); nazism labeling atrocities holocaust (142); maceahwindu 1091 usc antony (141); jonnyroot  christian kaseylynae church (140); abc3340 ashleyerin001 grazianima1359 stacye38121 (140); kajun1776 xpjwcf1pgj gregmozart repgolden (139); tammybaldwin reubenr80027912 idris elbow  ryanlpainter (138); teammoreno2024 larryelder dixiereloadz sherrod (135); danicapatrick stormrobinson the feminist tm gunthereagleman (131); scottlobaido scott lobaido manhattanmingle (131); joncoopertweets stargazeruk7 rawsalerts erictrump (130); deaflibertarian hsajwanization claudiawebbe debbieforfl (122); courtneyknill fox13seattle longertables brooklynnygirl (121); myhiddenvalue bsmithbens ossoff stan maga 1962 (116); pastatedept adammoczar scottpresler pa (113); embattled arrives sheriff rough (111); lt regulations artemisconsort trillion (99); savlovesswift simi28  inhumansoflate1 christine4nj (97); travisgrantham the1andloyal dtjr donaldjtrumpjr (96); chrisgeidner denverdamn lauraloomer realtimenews10 (82); nickshirleyy ronfilipkowski jbellsatx vitalik (81); the fjc aniobrien shaunmicallef danilic (81); josephzeballos thesgtjoker tesspaisan filledwithmoney (80); burke albanese treachery hassan (79); subsix848 chutkan tanya reuterdanielle1 (78); aiannucci kmbaussie silasgreen14 peadophile (74); craigmurrayorg sick of winning commala seanduffywi (74); derpo377 macleodlisa matt dillahunty treaters (70); electionlegal carlzha ungayed chrisjsankey (62); gogoadaggio patyarqt lpazosp enfdfs202u (62); tarathoughts2 examiningmoscow toneroushyus pjtiz7jnjr (61); veronic43536494 foreignaffairs dklmarxist aziz0nomics (57)
"2024 Election, Polls, Debates & Betting Markets",133414,162,labour reform conservative bladeofthes (15372); lynnebf 2846 ppollingnumbers rnc iapolls2022 (10969); beschlossdc ewarren mikecollinsga immunity (8217); stein drjillstein aoc jill (8037); whstancil lxeagle17 politicalmath traecrowder (7195); magahat eth whalefud magacoinx binance (4945); vance hanshawnity jd bgatesisapyscho (3308); theleoterrell tify330 niceblackdude signs (2603); behizytweets markhalperin super ultramaga clairecmc (2180); nytimes markjacob16 juliezebrak nytopinion (2086); defiantls tomselliott kendilaniannbc pappybest (1870); thejackhopkins votejimjordan thedesertginger jack (1856); teapainusa chrisdmowrey frankrichny theapplehub (1720); utah phil lyman cox govcox (1347); amoneyresists kentucky machines select (1247); dom lucre topsecretnoam dom black (1227); canampolitics1 tofu gamess gal subie co (1193); swisswatchguy jillfilipovic mnarmuh parscale (1192); garbage laurel dmpwhcarbo transcript (1165); marklevinshow bfriedmandc based jas levin (1143); secretarypete sentuberville lawindsor blake hall (1118); logically jc andrear9md jonfavs sadie nc (1086); sebgorka telegraph nrcc repmikecollins (1066); https co harris donald (1051); mirandadevine julius kim darryn briggs katierogers (1030); mikesington pamkeithfl markwarner   bigo   (975); yashar camhigby nicky usabasketball (942); swannmarcus89 agraybee bernie asteadwh (940); dc draino 4yourinformati3 johnrich muzak186138229 (934); tomilahren bpunion miriam2626 alwaysfaithful0 (863); liz cheney liz cheney govdougburgum (858); nancymace stacycay jdcocchiarella kwelkernbc (857); marceelias pr0ud americans marc democracydocket (849); cpac mschlapp mercedesschlapp jasonca71618805 (794); thrillarilla369 therecount ezra4liberty toxictrump (772); scaramucci thelastword goodestthinking mooch (758); europeinvasionn drewpavlou nymag rtraister (717); shitpostgate andyleeparker1 massholejay candace lo70387 (711); kurtschlichter rightwingwatch sharlamcbride nineeev (707); tristansnell tristan collinrugg gate io (699); sahilkapur billoreilly davidpepper ohio (676); megatron ron vanjones68 pastormark van (661); blackrock lauraloomer rachelreevesmp btc (646); rasmussen poll az ultra maga rasmussen iapolls2022 (634); natesilver538 nate mattsheffield polls (630); nothoodlum realannapaulina dapper det mamacat18 (628); theonlyesta zaleskiluke philthatremains phildstewart (623); warclandestine sentdefender rothschildmd tm1politics (618); jrubinblogger edokeefe jen allinwithchris (614); doggintrump kylenabecker flavorfultruth portlandrose143 (612); phil lewis  elonmuskusaaaaa  itsholmeshomes captainados42 (598); byronyork mercedesschlapp reallyndacarter jessesingal (597); prolotario1 ariel flynn realmrtruthbomb (590); saltygoat17 podiatristdon magi jay marigo2thepolls (588); pope themaxburns francis robert cr59 (587); chiproytx marindavannoy1 danabashcnn basedmikelee (582); funder gaughen captmarkkelly swisswatchguy (573); theexecutloner  normeisen kgreenberg  cnn (562); theeconomist rivertamydn wikileaks americanhubener (551); wajahatali snorman1776 henryrodgersdc democracynow (544); pro  trading dom lucre jonfavs desantis (530); pollsnopinions1 samparkersenate mzbutterfly513 librarycongress (499); timodc tim jeffgoldesq sarahlongwell25 (493); pamelahensley22 thekevindalton communism infrahaz (491); wendellpierce antiwarmisfit alexfinnx tulsi (489); bobfighter 45 jmart todayshow conservroof (483); peterdaou flywithkamala johndeere robbystarbuck (480); thetrueshelby amalaekpunobi attackdogx kimkbaltimore (479); resistthems quiverquant therabbithole84 ryanjespersen (479); ap4liberty earrings bluetooth ttavofficial (472); dravennoctis mercer flip13x govadhannasih (464); madrid mike marcosbreton popbase latino (462); joshtpm tpm timodc bobsalpha1 (454); gerashchenko en bobcesca go randymot4 pawlowskimario (454); victorshi2020 mrracebannon eugenedaniels2 kathygriffin (452); garbagehuman24 realpdata jimgeraghty billym2k (446); cbouzy aside godsplan08 caiomrb (434); stephenking stephen king pal (423); matthewjdowd rushmore mount airbagged (416); ericmmatheny nancyleegrahn lucy thevegan jterek88 (414); tiffanyfong  chbrkr newstart 2024 curtmills (410); jonsopel montie sxarletred maajidnawaz (401); peoples pundit debbieforfl mark r mitchell polls (394); asymmetricinfo jamescarville gaypatriot flaloudmouth (370); judgejeanine jeanine newsmax jessicatarlov (366); kateandrs lebowitz spectator fran (342); jonfavs tvietor08 lucassa56947288 charlesppierce (340); whitlockjason ruffydfire fluoride rufai (334); vanillaopinions derekjcardwell terminallyol graphcrimes (334); aaronparnas economy inflation aaron (333); repraskin lisamurkowski anthonyg0528 raskin (331); chicyph80 blankslate2017 admcrlsn drewsav (330); chrislongview mightykeef owenjones84 realcrazyfight  (327); kasparov63 newreagancaucus sarahashtonlv wsjopinion (320); blueheartedly danieldimartino lindsayballant thinks (319); ft statue naked alexandersoros (300); sayitnspinit dream sdg 1776 endwokeness (290); bucksexton clayandbuck claytravis buck (290); toddstarnes jonnybones tperkins ufc (287); ultra usmaga fl kslcom truthhammer1776 dawn2light (277); upp polls neo jane8 iamsophianelson joebldenpress (264); chrismurphyct raggapegs whstancil bump (258); mikenellis judiciarygop sosjacobsen robertcstern (257); michaelpruser grace4ny ralstonreports turnout (255); jarvis best jrubinblogger leahlitman umichlaw (240); 107 copypatsi gxzerwcg1p brokengear2 (237); bike teapainusa jojofromjerz miles (230);  sn n gay dannyk71113836 scottmgreer (225); nikicaga joelpollak twentyinchd charging (224); 124 lows penn investors (212); levi zachary shazam endorses (203); yougovamerica politics polls theblackchannel cbsnewspoll (197); fx1jonny justine brooke frumtiktok symonedsanders (190); sternamerican drjeffhorelick yournewsmedia 8r1h2rgjei (189); krystalball comptonmademe armanddoma krystal (187); grandpadennisp cadillacblack dipasqualedeb dennis (185); w terrence adultingiseasy benkentish rw briggs (183); dexwin sports yma2lojxpk boosted click (182); atticus59914029 prince3eb thevaluesvoter bamastephen (177); kylenabecker mattgaetz mtgreenee transfer (176); used to be gop stillgray comcast ewerickson (169); dhsgov dojcrimdiv secmayorkas raggapegs (161); newsaction24 7 aldrin buzz astronaut (160); dotkrueger chris d steele lastweektonight david leavitt (159); moreperfectus dienne 7 olightworker jaketapper (158); lisadnews newshour lbarronlopez geoffrbennett (150); jeffcharlesjr beshearstan progressivetex macergifford (143); limare64 gop rac hikergirl84 miketermaat4vp (141); qasimrashid aparis5150 darkblue420 super ultramaga (133); the real fly improper payments watchdog (118); conservroof leadermcconnell robert cr59 ray p45 (118); itvtcorp moutster moonshot allocation (116); steverustad1 cnnbrk emilyjashinsky beefeater fella (114); noaharkmoney humanity respectively psychgirl211 (113); forklifts grogsgamut razor tutukane (112); iraqveteran8888 repscottperry joeymannarinous unfit (112); nowthisimpact stonardpeter disavowtrump20 qz7kbpyqxb (112); nypoliticalmom stevenjonmiller ap politics samcoatessky (110); evargastv newsnation scarlett wtp kurtbardella (106); reallizusa kevinmoncla landslide seats (103); therabbithole84 oscarenjoylife jaritacco funpollking (103); therecount repdanbishop aliadair22 reporter (103); pokemom2r th1 thr1 trumplola honey bee maga (102); stevepasquale jeremy hunt foxla bobdinmi (101); snellarthur jm0ses melissa said it testing (96); search google willandharper atop (93); tombuck deadtosin610 jack petocz dominicfarrell (91); defeats scaredbisexual coinmarketcap realonx1 (88); collinsfortx europaclipper smartnews 175 (86); jdpoc doofinc  insurancepremiums healthplan (85); peoples pundit wired artcandee norahodonnell (83); stumped pauses westjournalism awkward (83); latino elisejoshi telemundo 54 (82); drdave1999 socdemlad raptor1007 averagejohn911 (82); hezbollah lebanon eleccioneseeuu2024 consciousphilos (80); doritos wallet wallet tg lod delicacies (80); nformicagop tpaction  mamatea  mrgee54 (76); markbellingshow vickimckenna nickysmokess georgialogcabin (71); carolinekanetx lpnc bsamuels0 firetheuniparty (65); patriotsusanl sueboggio membroniclizell lgreads24 (58); billkristol kimdotcom academicviews savvy (54); ufollow me now5 giants universe rplayer2023 khalim (51)
"Middle East: Israel–Gaza, Iran & Region",68301,18,mehdirhasan israel netanyahu vividprowess (62413); bgatesisapyscho drelidavid ivanasstaircam kyivindependent (1224); kahlissee usatoday joeygarrison bushra1shaikh (771); jewishwarrior13 lisahudsonchow7 eminem dougburgum (709); nasrallah hassan hezbollah airstrike (612); mzhemingway ladyjustice4512 mollie ujuanya (434); ashy slashee suppressednws themuppetpastor donald (369); reprobertgarcia cathyyoung63 red pill us spawn 03 (324); ianbremmer senfettermanpa thomasdhowes peipolnews (201); chrisstigall k0sher c0ckney persianjewess anjewla90 (199); tomcottonar cotton tom border (198); katiedaviscourt county iwashington bucks (162); sahouraxo paulewart23 cl63290154 pzgvfwinju (147); sargon of akkad chrisalvino blaireerskine rahmemanuel (138); ladylaw31256058 cougarspider belindajones68 tpvsean (120); yemen trumpkenstein swiftie bieber (109); levarstoney intlcrimcourt timothy stanley sirmaejoratl (91); 90swwe sanctionisrael gtmac21 shameonyou (80)
